ModelName,Technique,Proportion,Step,validation_loss,memory_used,inference_time,f1_score,auc_score
AE512_64x32_cnf_week,ga1week,70,base_models,0.0017442320240661502,0.26904296875,0.6138629913330078,0.8999378495960224,0.9019391600036761
AE512_256x128_cnf_month,ga1week,70,pruned_models,0.00267374562099576,1.05908203125,0.6184444427490234,0.857487922705314,0.8568146310081795
AE512_256x128_cnf_week,ga1week,70,pruned_models,0.0043272413313388824,1.06640625,0.6243250370025635,0.7438118811881188,0.7479781270103851
AE512_128x64_cnf_month,ga1week,70,pruned_models,0.008252671919763088,0.48046875,0.6181302070617676,0.8005098789037604,0.8089330024813897
AE512_128x64_cnf_week,ga1week,70,pruned_models,0.007338495459407568,0.48046875,0.8870105743408203,0.7700797057020233,0.7718959654443526
AE512_64x32_cnf_month,ga1week,70,pruned_models,0.02737662009894848,0.2275390625,0.58640456199646,0.6582278481012658,0.5
AE512_64x32_cnf_week,ga1week,70,pruned_models,0.026655729860067368,0.2275390625,0.5903940200805664,0.6582278481012658,0.5
AE512_256x128_cnf_month,ga1week,70,fine-tuned_models,0.000592087977565825,1.05908203125,0.6158857345581055,0.9002493765586035,0.9024905799099348
AE512_256x128_cnf_week,ga1week,70,fine-tuned_models,0.000667076266836375,1.06640625,0.6205213069915771,0.8979074191502854,0.9015715467328371
AE512_128x64_cnf_month,ga1week,70,fine-tuned_models,0.0008600782020948827,0.48046875,0.5889794826507568,0.9032663316582915,0.9060058818123333
AE512_128x64_cnf_week,ga1week,70,fine-tuned_models,0.001036615576595068,0.48046875,0.7968268394470215,0.9021601016518425,0.9057990993474865
AE512_64x32_cnf_month,ga1week,70,fine-tuned_models,0.0017625484615564346,0.2275390625,0.6324594020843506,0.9064475347661188,0.9095441595441596
AE512_64x32_cnf_week,ga1week,70,fine-tuned_models,0.0018252091249451041,0.2275390625,0.599365234375,0.9006870705808869,0.9030649756456208
AE512_256x128_cnf_month,ga1week,60,base_models,0.0005764224333688617,1.25439453125,0.5972256660461426,0.8951911220715166,0.8966087675765095
AE512_256x128_cnf_week,ga1week,60,base_models,0.0006529408856295049,1.25439453125,0.5853469371795654,0.8949658172778123,0.8970682841650583
AE512_128x64_cnf_month,ga1week,60,base_models,0.0008549155318178236,0.56591796875,0.6277649402618408,0.905224787363305,0.9054085102472199
AE512_128x64_cnf_week,ga1week,60,base_models,0.0010076086036860943,0.56591796875,0.7625494003295898,0.9023779724655819,0.9048570903409614
AE512_64x32_cnf_month,ga1week,60,base_models,0.0015132349217310548,0.26904296875,0.6874527931213379,0.9066002490660025,0.9086021505376344
AE512_64x32_cnf_week,ga1week,60,base_models,0.001891212072223425,0.26904296875,0.8959617614746094,0.904380012338063,0.9057301718592041
AE512_256x128_cnf_month,ga1week,60,pruned_models,0.014605904929339886,0.99560546875,0.603804349899292,0.6582278481012658,0.5
AE512_256x128_cnf_week,ga1week,60,pruned_models,0.005724661517888308,1.0029296875,0.6409544944763184,0.6719022687609075,0.5499494531752596
AE512_128x64_cnf_month,ga1week,60,pruned_models,0.01953657530248165,0.45166015625,0.6265912055969238,0.6582278481012658,0.5
AE512_128x64_cnf_week,ga1week,60,pruned_models,0.011571642942726612,0.45166015625,0.7561452388763428,0.6582278481012658,0.5
AE512_64x32_cnf_month,ga1week,60,pruned_models,0.030418837442994118,0.21533203125,0.6551320552825928,0.6582278481012658,0.5
AE512_64x32_cnf_week,ga1week,60,pruned_models,0.021281834691762924,0.21533203125,0.8379166126251221,0.6582278481012658,0.5
AE512_256x128_cnf_month,ga1week,60,fine-tuned_models,0.000584870227612555,0.99560546875,0.5794022083282471,0.8981657179000633,0.9016174983916919
